# How are active users trending?,,,
# Start date: 20230215,,,
# End date: 20260215,,,
Nth day,30 days,7 days,1 day
837,13548,2045,276
838,13188,2148,427
839,12732,2202,543
840,12020,2259,550
841,11435,2319,459
842,10679,2298,333
843,10148,2324,227
844,9685,2349,284
845,9570,2358,414
846,9452,2317,467
847,9105,2237,441
848,8714,2230,454
849,8474,2270,386
850,8212,2304,269
851,8101,2368,376
852,8289,2566,643
853,8402,2691,609
854,8312,2758,556
855,8303,2759,451
856,8260,2725,379
857,8091,2682,219
858,8092,2610,294
859,8269,2501,510
860,8397,2416,483
861,8485,2312,447
862,8479,2313,452
863,8415,2289,330
864,8332,2287,204
865,8257,2265,268
866,8362,2170,404
867,8479,2172,464
868,8490,2138,423
869,8315,1994,311
870,8084,1862,169
871,7892,1835,177
872,7844,1836,253
873,8016,1937,521
874,8142,1960,503
875,8193,2025,510
876,8184,2154,479
877,8101,2289,367
878,7929,2343,237
879,7848,2383,313
880,8004,2465,598
881,8150,2548,585
882,8120,2634,600
883,8078,2663,511
884,7976,2661,378
885,7855,2673,244
886,7827,2656,313
887,8006,2639,555
888,8178,2655,604
889,8191,2602,535
890,8194,2554,476
891,8145,2549,391
892,8014,2579,277
893,8001,2593,324
894,8234,2632,601
895,8387,2597,575
896,8454,2614,527
897,8480,2618,496
898,8492,2612,407
899,8450,2592,261
900,8541,2619,345
901,8780,2601,557
902,8957,2605,573
903,9021,2663,612
904,9019,2712,552
905,9014,2767,467
906,8912,2807,332
907,8940,2858,393
908,9159,2922,608
909,9398,2987,650
910,9452,3005,628
911,9493,3011,592
912,9382,2976,451
913,9282,2970,355
914,9250,2944,366
915,9473,2943,600
916,9694,2965,632
917,9766,2980,651
918,9766,3043,675
919,9788,3120,551
920,9728,3184,398
921,9770,3263,444
922,10035,3352,706
923,10354,3458,756
924,10501,3625,836
925,10585,3622,720
926,10845,3972,999
927,10985,4234,723
928,11289,4600,919
929,11947,5119,1438
930,13805,7091,3379
931,17183,10932,6155
932,19322,13411,5440
933,19729,13768,2103
934,19687,13680,690
935,19931,13821,1410
936,20692,14285,2856
937,21438,13780,2675
938,21881,11715,2224
939,22096,9365,1466
940,22076,8695,793
941,21928,8517,348
942,21985,8068,531
943,22101,6939,1030
944,22254,5925,1063
945,22410,5017,977
946,22457,4573,834
947,22394,4370,535
948,22212,4340,289
949,22156,4328,494
950,22304,4260,958
951,22473,4251,1025
952,22568,4341,1097
953,22556,4452,980
954,22510,4501,620
955,22443,4588,404
956,22247,4677,636
957,22446,4843,1186
958,22544,4946,1161
959,22452,4981,1144
960,21720,5074,1060
961,19629,5079,603
962,17547,5026,367
963,17055,5070,684
964,17261,5098,1235
965,17282,5239,1294
966,16681,5327,1287
967,15971,5314,1059
968,15172,5275,600
969,14647,5209,261
970,14441,5104,567
971,14772,5083,1233
972,15102,5063,1312
973,16427,7068,3906
974,17249,8239,2982
975,17516,8690,1490
976,17384,8864,604
977,17571,9068,1074
978,18339,9719,2487
979,18978,10318,2475
980,19565,9725,2571
981,19992,9275,2281
982,20028,9078,1143
983,19959,9103,589
984,20027,9021,854
985,20514,8852,2064
986,20997,8772,2270
987,21232,8393,2002
988,21242,7865,1478
989,21023,7611,833
990,20855,7514,466
991,20858,7508,822
992,21741,8294,3055
993,22695,9185,3492
994,23399,9863,3137
995,23772,10574,2858
996,23830,11026,1804
997,23749,11158,814
998,24031,11557,1651
999,25441,12631,4532
1000,27149,14196,6234
1001,29037,16199,7172
1002,29963,17385,5487
1003,30007,18053,3675
1004,29853,18577,2202
1005,29968,19076,2483
1006,30947,19247,4877
1007,31743,18351,4324
1008,32219,16493,4321
1009,32814,15684,3965
1010,32694,14743,1985
1011,32344,14085,663
1012,32167,13544,863
1013,32357,11877,1545
1014,32380,10124,899
1015,32063,8065,528
1016,31549,5437,270
1017,31104,4227,340
1018,30974,4042,409
1019,30911,3811,513
1020,31177,3757,1427
1021,31388,4339,1598
1022,31048,5059,1511
1023,30695,5898,1467
1024,30256,6218,952
1025,29769,6316,550
1026,29560,6565,862
1027,29801,6804,1739
1028,30032,7104,2060
1029,29591,7406,1950
1030,28226,7420,1604
1031,26260,7934,1635
1032,24870,8417,1375
1033,24156,8669,1329
1034,24059,8737,1756
1035,23936,8432,1571
1036,23023,8137,1479
1037,22156,7855,1148
1038,21174,7399,1050
1039,19817,7056,879
1040,19277,6774,828
1041,19464,6248,1005
1042,19283,5566,634
1043,18814,4757,415
1044,18539,4149,330
1045,18539,3686,417
1046,18583,3319,377
1047,18573,2945,351
1048,18621,2484,437
1049,18610,2326,438
1050,18139,2210,275
1051,17550,2175,278
1052,17108,2144,389
1053,16661,2122,352
1054,16424,2183,419
1055,16504,2366,648
1056,16445,2479,580
1057,16051,2746,628
1058,15487,3058,676
1059,14766,3217,597
1060,14256,3300,468
1061,13610,3431,570
1062,13435,3619,895
1063,13311,3978,1017
1064,13031,4292,1068
1065,12688,4594,1111
1066,12526,5070,1240
1067,12354,5444,976
1068,12493,5979,1326
1069,13915,7736,3229
1070,17064,11465,6167
1071,18957,13648,5478
1072,19821,14391,3184
1073,20059,14310,1233
1074,20138,14132,845
1075,20394,14129,1405
1076,21243,13815,2728
1077,21816,11834,2360
1078,22354,9672,2122
1079,22564,8632,1429
1080,22802,8450,890
1081,22799,8239,376
1082,22839,7773,533
1083,22989,6815,1104
1084,23274,6003,1121
1085,23354,5250,1034
1086,23452,4945,983
1087,23382,4671,534
1088,23209,4445,67
1089,23010,4063,6
1090,22873,3253,17
1091,22639,2376,10
1092,22307,1502,7
1093,21980,614,7
1094,21515,105,4
1095,21048,42,0
1096,20725,352,318
